,osmanlica,turkce
38679,ابنا,ebna
38680,ابو,ebu
38681,ابواب,Ebvab
38682,ابوالبشر,Ebü'lbeşer
38683,ابوالذهب,Ebüzzeheb
38684,ابوت,ubüvvet
38685,ابوتراب,EbuTürab
38686,ابوين,Ebeveyn
38687,ابهاج,İbhac
38688,ابهام,İbham
38689,ابهامات,ibhamat
38690,ابهت,übbehet
38691,ابيات,Ebyat
38692,ابيض,Ebyaz
38693,اپولت,apolet
38694,اتان,etan
38695,اتباع,Etba'
38696,اتباع,itba'
38697,اتباع,İttiba'
38698,اتباعا,İttibaan
38699,اتحاد,İttihad
38700,اتحاف,İttihaf
38701,اتخاذ,İttihaz
38702,اتراب,Etrab
38703,اتراك,Etrak
38704,اتربه,Etribe
38705,اتساعاً,ً    ittisaan
38706,اتصاف,İttisaf
38707,اتصال,İttisal
38708,اتضاح,İttizah
38709,اتعاب,it'ab
38710,اتعاظ,İttiaz
38711,اتفاق,İttifak
38712,اتفاقا,ً    ittifakan
38713,اتفاقپذير,İttifakpezir
38714,اتفاقي,ittifaki
38715,اتفاقيات,ittifakiyyat
38716,اتفاقيه,ittifakıyye
38717,اتقان,İtkan
38718,اتكال,İttikal
38719,اتلاف,İtlaf
38720,اتمام,İtmam
38721,اتهام,itham
38722,اتيان,İtyan
38723,اثاث,Esas
38724,اثبات,isbat
38725,اثقال,Eskal
38726,اثقل,Esgal
38727,اثلاث,Eslas
38728,اثمار,esmar
38729,اثمان,esman
38730,اثنىعشر,isnaaşer
38731,اثنين,İsneyn
38732,اثنينيت,İsneyniyyet
38733,اثواب,esvab
38734,اثير,esir
38735,اثيم,esim
38736,اجابت,İcabet
38737,اجاده,İcade
38738,اجاج,ücac
38739,اجاره,İcara
38740,اجازت,İcazet
38741,اجازتنامه,İcazetname
38742,اجاله,İcale
38743,اجانب,ecanib
38744,اجبار,İcbar
38745,اجترا,ictirâ
38746,اجتسار,İctisar
38747,اجتماعات,ictimaat
38748,اجتناء,ictinâ
38749,اجتناب,İctinab
38750,اجتناح,İctinah
38751,اجتوار,İctivar
38752,اجتهاد,İctihad
38753,اجداث,ecdas
38754,اجداد,ecdad
38755,اجدر,ecder
38756,اجذم,eczem
38757,اجر,ecr
38758,اجراآت,İcraat
38759,اجرام,ecram
38760,اجرب,ecrab
38761,اجزاخانه,Eczahane
38762,اجساد,ecsad
38763,اجسام,Ecsam
38764,اجفان,ecfan
38765,اجل,ecl
38766,اجلقضا,ecelikaza
38767,اجلمسمى,ecelimüsemma    mev'ud
38768,اجلاف,eclaf
38769,اجلال,İclal
38770,اجلالاً,ً    iclalen
38771,اجلالي,iclali
38772,اجلي,eceli
38773,اجم,ücem
38774,اجمال,İcmal
38775,اجمالاً,ً    İcmalen
38776,اجمالي,icmali
38777,اجمعين,Ecmain
38778,احمل,ecmel
38779,اجناد,ecnad
38780,اجناس,ecnas
38781,اجنى,Ecinni
38782,اجنبيت,ecnebiyyet
38783,اجني,ecinni
38784,اجور,ücür
38785,اجهار,İchar
38786,اجياف,ecyaf
38787,اجيال,ecyal
38788,اجير,ecir
38789,احاجي,ahaci
38790,احاديث,ehadis
38791,احاطه,İhada
38792,احاله,İhale
38793,احالةً,ً    ihaleten
38794,احباب,Ahbab
38795,احبار,ahbar
38796,احبن,Ahben
38797,احتباس,İhtibas
38798,احتجاب,İhticab
38799,احتجاج,İhticac
38800,احتجاجاً,ً    ihticacen
38801,احتجاجات,İhticacat
38802,احتداد,İhtidad
38803,احتذار,İhtizar
38804,احتراب,İhtirab
38805,احتراز,İhtiraz
38806,احتراس,İhtiras
38807,احتراص,İhtiras
38808,احتراصات,İhtirasat
38809,احتراق,Ihtirak
38810,احترام,İhtiram
38811,احتراماً,ً    ihtiramen
38812,احترامات,İhtiramat
38813,احتساب,İhtisab
38814,احتساس,İhtisas
38815,احتساسات,İhtisasat
38816,احتشاد,İhtişad
38817,احتضار,İhtizar
38818,احتضاض,İhtizaz
38819,احتطاب,İhtidab
38820,احتفال,İhtifal
38821,احتقار,İhtigar
38822,احتقان,Ihtikan
38823,احتكار,Ihtikar
38824,احتقاراً,ً    ihtikaran
38825,احتلام,İhtilam
38826,احتمال,İhtimal
38827,احتمالات,İhtimalat
38828,احتواء,İhtivâ
38829,احتياج,İhtiyac
38830,احتياجات,İhtiyacat
38831,احتياط,İhtiyad
38832,احتشام,İhtişam
38833,احتصاد,İhtisad
38834,احتياطاً,ً    Ihtiyatan
38835,احتياطي,ihtiyati
38836,احتيال,İhtiyal
38837,احتيالات,İhtiyalat
38838,احجار,Ahcar
38839,احجام,İhcam
38840,احجوه,ühcüvve
38841,احد,ehad
38842,احداث,İhdas
38843,احدب,ahdeb
38844,احدى,Ihdi
38845,احراب,İhrab
38846,احرار,Ahrar
38847,احراز,İhraz
38848,احراق,Ihrak
38849,احراقاً,ً    ihrakan
38850,احرام,ihram
38851,احرى,ahra
38852,احزاب,Ahzab
38853,احزان,Ahzan
38854,احساس,İhsas
38855,احساسات,İhsasat
38856,احسان,İhsan
38857,احساناً,ً    ihsanen
38858,احسانات,İhsanat
38859,احسانديدگان,ihsandidgan
38860,احسانديده,İhsandide
38861,احصاص,İhsas
38862,احصان,İhsan
38863,احضار,İhzar
38864,احفاد,Ahfad
38865,احقاق,İhkak
38866,احقر,Ahkar
38867,احكام,Ahkam
38868,احكم,ahkem
38869,احلام,ahlam
38870,احلي,ahla
38871,احمال,Ahmal
38872,احمرار,İhmirar
38873,احمقانه,ahmakane
38874,احمقي,ahmaki
38875,احنت,İhnet
38876,احوال,Ahval
38877,احوج,ahvec
38878,احول,Ahvel
38879,احيا,ahya
38880,احيا,İhya
38881,احياكرده,ihyagerde
38882,احيان,Ahyan
38883,احياناً احيانا,ً‌،              ahyanen
38884,اخ,ah
38885,اخافه,İhafe
38886,اخبار,Ahbar
38887,اخبار,İhbar
38888,اخباري,ihbari
38889,اخباريات,ihbariyyat
38890,اخت,Uht
38891,اختبار,İhtibar
38892,اختر,Ahter
38893,اخترشناس,ahterşinas
38894,اختراعات,İhtiraat
38895,اختراعي,ihtirai
38896,اختراعيات,ihtiraiyyat
38897,اختصار,İhtisar
38898,اختصاراً,ً    ihtisaran
38899,اختصاص,ihtisas
38900,اختصاصيون,İhtisasıyyün
38901,اختصام,ihtisam
38902,اختطاب,ihtidab
38903,اختطاط,ihtidad
38904,اختطاف,ihtidaf
38905,اختلاج,ihtilac
38906,اختلاجات,ihtilacat
38907,اختيلاس,ihtilas
38908,اختلاسات,ihtilasat
38909,اختلاسكار,ihtilaskar
38910,اختلاسكارانه,ihtilaskarane
38911,اختلاط,İhtilat
38912,اختلاف,İhtilaf
38913,اختلافات,ihtilafat
38914,اختيلاقاً,ً    ihtilakan
38915,اختلاقيات,ihtilagiyyat
38916,اختلال,ihtilal
38917,اختلالات,ihtilalat
38918,اختمار,ihtimar
38919,اختناق,İhtinak
38920,اختيار,İhtiyar
38921,اختيارات,ihtiyarat
38922,اختياري,ihtiyari
38923,اختياريات,ihtiyariyyat
38924,اختيان,ihtiyan
38925,اخجال,ihcal
38926,اخدود,Ühdüd
38927,اخذ,ahz
38928,اخراب,ihrab
38929,اخراج,ihrac
38930,اخروي,uhrevi
38931,اخري,uhra
38932,اخس,ehass
38933,اخشاب,Ahşab
38934,اخص,Ehas
38935,اخصائيون,ihsaiyyün
38936,اخصر,ehsar
38937,اخضر,Ahzar
38938,اخطارات,ihdarat
38939,اخف,ehaff
38940,اخفش,Ahfeş
38941,اخفي,ahfa
38942,اخلاص,İhlas
38943,اخلاصپرور,ihlasperver
38944,اخلاصپرورانه,ihlasperverane
38945,اخلاصپروري,ihlasperveri
38946,اخلاصمند,Ihlasmend
38947,اخلاصمندانه,ihlasmendane
38948,اخلاصمندي,ihlasmendi
38949,اخلاط,Ahlat
38950,اخلاف,Ahlaf
38951,اخلاق,Ahlak
38952,اخلاقيات,Ahlakiyat
38953,اخلاقيون,Ahlakıyun
38954,اخلال,ihlal
38955,اخماد,ihmad
38956,اخوان,İhvan
38957, ,nan
38958,اخوه,ihve
38959,اخيذ,ehız
38960,اخير,Ehir
38961,اخيراً,ً    Ehiren
38962,ادات,edat
38963,اداره,idare
38964,ادارهخانه,idarehane
38965,اداله,idale
38966,ادام,idam
38967,ادمالله,ademüllah
38968,ادامتادامه,idamet
38969,ادانه,idane
38970,اداني,edani
38971,ادباء,üdeba
38972,ادبار,idbar
38973,ادبي,edebi
38974,ادبيات,edebiyyat
38975,ادبيون,edebiyyün
38976,ادخار,İdhar
38977,ادخار,iddihar
38978,ادخال,ithal
38979,ادخالات,ithalat
38980,ادخال,iddihal
38981,ادخان,idhan
38982,ادراج,idrac
38983,ادرار,idrar
38984,ادراك,idrak
38985,ادراكات,İdrakat
38986,ادرد,Edred
38987,ادعاء,iddia
38988,ادعائ,iddiai
38989,ادعائيات,iddiaiyyat
38990,ادعج,ed'ac
38991,ادعيه,ed'ıye
38992,ادغام,İdğam
38993,ادلال,İdlal
38994,ادله,edille
38995,ادماج,idmac
38996,ادمان,İdman
38997,ادهاش,İdhaş
38998,ادمه,edimme
38999,ادني,edna
39000,ادناس,ednas
39001,ادوات,edevat
39002,ادوار,edvar
39003,اديان,edyan
39004,اديب,edip
39005,اديبانه,edibane
39006,اديم,edim
39007,اذابه,İzabe
39008,اذاعتاذاعه,izaat
39009,اذاقه,İzaka
39010,اذان,ezan
39011,اذاني,üzani
39012,اذكار,ezkar
39013,اذكار,İzkar
39014,اذكي,ezka
39015,اذكيا,Ezkiya
39016,اذلال,İzlal
39017,اذله,ezille
39018,اذن,İzn
39019,اذناب,İznab
39020,اذناب,eznab
39021,اذوذ,ezüz
39022,اذهاب,izhab
39023,اذهان,ezhan
39024,اذواق,ezvag
39025,اذى,ezâ
39026,اذيال,ezyal
39027,ارائك,eraik
39028,ارائه,İrae
39029,اراجز,eraciz
39030,اراجيح,eracih
39031,اراجيف,eracif
39032,اراحه,İraha
39033,اراده,İrade
39034,ارادات,İradat
39035,ارادي,iradi
39036,اراديات,iradiyyat
39037,اراذل,erazil
39038,اراضي,arazi
39039,اراقه,ıraka
39040,ارامل,eramil
39041,ارانب,eranib
39042,ارباب,Erbab
39043,اربعون,erbaun
39044,اربعه,Erbea
39045,اربعين,Erbeın
39046,اربه,İrbe
39047,ارتباط,İrtibat
39048,ارتتاح,irtitah
39049,ارتجاج,irticac
39050,ارتجاعي,irticai
39051,ارتجال,İrtical
39052,ارتجالاً,ً    irticalen
39053,ارتجاليات,irticaliyyat
39054,ارتجاض,irticaz
39055,ارتحال,İrtihal
39056,ارتخاض,irtihaz
39057,ارتداد,İrtidad
39058,ارتداع,İrtida'
39059,ارتداف,İrtidaf
39060,ارتراق,irtirak
39061,ارتساس,İrtisas
39062,ارتسام,İrtisam
39063,ارتشاف,İrtişaf
39064,ارتضاء,İrtizâ
39065,ارتضاع,İrtiza'
39066,ارتعاء,İrtiâ
39067,ارتعاب,İrtiab
39068,ارتعاد,İrtiad
39069,ارتعاش,İrtiaş
39070,ارتفاد,İrtifad
39071,ارتفاع,İrtifa'
39072,ارتفاعاً,ً    irtifaan
39073,ارتقاب,İrtigab
39074,ارتقاش,İrtigaş
39075,ارتكاب,İrtikab
39076,ارتنك,ertenk
39077,ارتهان,İrtihan
39078,ارتياب,İrtiyab
39079,ارث,İrs
39080,ارثاً,ً    irsen
39081,ارثي,ırsi
39082,ارجح,Ercah
39083,ارجمند,ercümend
39084,ارجوان,Ercüvan
39085,ارجوحه,ürcüha
39086,ارجوزه,ürcüze
39087,ارجوفه,ürcüfe
39088,ارجى,erca
39089,ارحام,erham
39090,ارخاص,İrhas
39091,ارداف,İrdaf
39092,اردافاً,ً    irdafen
39093,ارز,Erz
39094,ارزاق,Erzak
39095,ارزان,erzan
39096,ارزانش,erzaniş
39097,ارزاني,erzani
39098,ارزنين,erzenin
39099,ارزه,erze
39100,ارزهگر,erzeger
39101,ارزيده,erzeyide
39102,ارزيز,erziz
39103,ارزنك,erzenk
39104,ارسال,İrsal
39105,ارسالات,İrsalat
39106,ارش,erş
39107,ارشار,irşad
39108,ارض,Erz    Arz
39109,ارضاع,İrza'
39110,ارضه,erza
39111,ارضين,erzin
39112,ارعن,er'an
39113,ارغاب,ergab
39114,ارغام,ırgam
39115,ارغنون,Erganun
39116,ارغوان,Erguvan
39117,ارغوانى,Erguvani
39118,ارفاه,irfah
39119,ارفع,Erfa'
39120,ارق,ark
39121,ارقام,Erkam
39122,اركاب,İrkab
39123,اركاباً,ً    irkaben
39124,اركان,erkan
39125,ارم,İrem
39126,ارماح,ermah
39127,ارمود,armut
39128,اره,erre
39129,ارهكش,errekeş
39130,ارهاصات,İrhasat
39131,ارهاب,İrhab
39132,اريب,erib
39133,اريكه,erike
39134,اريكهیرا,erikeyara
39135,ازاله,izale
39136,ازبار,izbar
39137,ايزبانديت,izbandit
39138,ازج,ezecc
39139,ازدجار,İzdicar
39140,ازدحام,İzdiham
39141,ازرار,Ezrar
39142,ازعاجات,iz'acat
39143,ازقه,ezikka
39144,ازكام,İzkam
39145,ازكى,Ezki
39146,ازكيا,Ezkiya
39147,ازلى,Ezeli
39148,ازماريد,Izmarid
39149,ازمان,azman
39150,ازواج,Ezvac
39151,ازور,azver    azur
39152,ازهار,Ezhar
39153,اژدر,ejder
39154,اسائت,İsaet
39155,اسابيع,Essabi'
39156,اسار,İsar
39157,اسارى,üsera
39158,اسارير,esarir
39159,اساس,esas
39160,اساسا,esasen
39161,اساسي,esasi
39162,اساطیر,esatir
39163,اساطین,esatin
39164,اساغه,İsağa
39165,اسافل,esafil
39166,اساله,İsale
39167,اساليب,Esalib
39168,اسامى,Esami
39169,اسانيد,esanid
39170,اساور,esavir
39171,اسبافكن,esbefken
39172,اسبانسگيز,esbengiz
39173,اسباب,esbab
39174,اسباط,ispat
39175,اسباغ,İsbağ
39176,اسبال,İsbal
39177,اسبران,Esberan
39178,اسبسوار,Esbsuvar
39179,اسفنقس,infenkas
39180,اسپاتي,ispati
39181,اسپازموز,Ispazmoz
39182,اسپاناق,ıspanak
39183,اسپرمچت,ispermecet
39184,اسپانچيار,ispenciyar
39185,اسپيتاليا,ispitalya
39186,اسپير,İspir
39187,ارپيرتو,ispirto
39188,اسپينوز,ispinoz
39189,استا,esta
39190,استاد,Üstad
39191,استاذ,üstaz
39192,استار,Estar
39193,استاسيون,İstasyon
39194,استاقوز,istakoz
39195,استاليا,İstalya
39196,استامه,istame
39197,استاوريت,İstavrit
39198,استباق,istibak
39199,استبانه,istibane
39200,استبحاث,istibhas
39201,استبحار,istibhar
39202,استبدال,İstibdal
39203,استبرق,istebrak
39204,استبشار,İstibşar
39205,استبقاء,İstibka
39206,استتابه,İstitabe
39207,استتار,İstitar
39208,استتام,istitam
39209,استثنا,istisna
39210,استثناآت,İstisnaat
39211,استثنائيه,istisnaiyye
39212,استجابت,isticabet
39213,استجابه,İsticabe
39214,استجاده,İsticade
39215,استجاره,İsticare
39216,استجازه,İsticaze
39217,استجلاب,İsticlab
39218,استجواب,İsticvab
39219,استجهال,İstichal
39220,استحاثه,İstihase
39221,استحاله,İstihale
39222,استحباب,İstihbab
39223,استحباباً,ً    istihbaben
39224,استحسان,İstihsan
39225,استحساناً,ً    istihsanen
39226,استحصال,İstihsal
39227,استحضار,İstihzar
39228,استحضارات,istihzarat
39229,استحقار,İstihkar
39230,استحقاق,İstihkak
39231,استحكام,İstihkam
39232,استحكامات,İstihkamat
39233,استحلاب,İstihlab
39234,استحلال,İstihlal
39235,استحمال,İstihmal
39236,استحمام,İstihmam
39237,استحواذ,İstihvaz
39238,استخاره,İstihare
39239,استخبار,İstihbar
39240,استخبارات,İstihbarat
39241,استخدام,İstihdam
39242,استخراج,İstihrac
39243,استخراجات,İstihracat
39244,استخفا,isthfa
39245,استخفاف,istihfaf
39246,استخلاب,İstihlab
39247,استخلاص,İstihlas
39248,استخوان,üstühvan
39249,استداد,İstidad
39250,استداره,İstidara
39251,استدامه,İstidame
39252,استدانه,İstidane
39253,استدبار,istidbar
39254,استدراك,İstidrak
39255,استدلال,İstidlal
39256,استدلالاً,ً    istidlalen
39257,استدلالات,İstidlalat
39258,استذكار,İstizkar
39259,استذلال,İstizlal
39260,استراحت,İstirahat
39261,استراق,istirak
39262,استرايه,istralya
39263,استرحام,İstirham
39264,استرحامات,istirhamat
39265,استرخا,istirha
39266,استرداد,İstirdad
39267,استرذال,İstirzal
39268,استرزاق,İstirzak
39269,استرفاه,Istirfah
39270,استرقاب,İstirgab
39271,استرقاق,Istirkak
39272,استروماچه,istromaça
39273,استرويليه,isterveliyye
39274,استره,ustura
39275,استرهاب,İstirhab
39276,استرهان,İstirhan
39277,استريديه,İstiridye
39278,استرينفه,isteringa
39279,استزاده,İstizade
39280,استزاره,Istihare
39281,استسخار,İstishar
39282,استسقا,Istıska
39283,استسلام,İstislam
39284,استسنان,İstisnan
39285,استسهال,İstishal
39286,استشارات,İstişarat
39287,استشاره,İstişare
39288,استشعارات,İstiş'arat
39289,استنفاء,istinfa
39290,استشفاءً,ً    istinfaen
39291,استشفاع,"İstişfâ',"
39292,استشمام,İstişmam
39293,استشهاد,İstişhad
39294,استشهاداً,ً    istişhaden
39295,استشهادات,İstişhadat
39296,استصحاب,İstishab
39297,استصغار,istisgar
39298,استصواب,İstisvab
39299,استصواباً,ً    istisvaben
39300,استصوابكرده,İstisvab    kerde
39301,استضائه,İstizae
39302,استضعاف,istiz'af
39303,استطابه,istidabe
39304,استطاعت,İstidaat
39305,استطاله,İstidale
39306,استطباب,İstidbab
39307,استطراب,İstidrab
39308,استطراد,İstidrad
39309,استطراداً,ً    istidraden
39310,استطرادي,istidradi
39311,استطراف,İstidraf
39312,استطلاعات,İstidlaat
39313,استظلال,İstizlal
39314,استظهار,İstizhar
39315,استعاده,İstiade
39316,استعاذه,İstiaze
39317,استعارات,İstiarat
39318,استعاره,İstiare
39319,استعاضه,İstiaza
39320,استعانتاستعانه,istianet
39321,استعمال,isti'mal
39322,استعمالات,İsti'malat
39323,استغاثه,istigase
39324,استغراب,istiğrab
39325,استغراق,istiğrak
39326,استغفار,istiğfar
39327,استغفرالله,Estağfurullah
39328,استغلال,İstiğlal
39329,استفادات,istifadat
39330,استفاده,İstifade
39331,استفاضه,İstifaza
39332,استفان,İstefan
39333,استفراغ,İstifrağ
39334,استفسار,İstifsar
39335,استفهام,İstifham
39336,استفهامات,İstifhamat
39337,استفهامي,istifhami
39338,استقامت,istikamet
39339,استقبال,istikbal
39340,استقبالاً,ً    İstikbalen
39341,استقبالي,istikbali
39342,استقتال,istiktal
39343,استقدام,istikdam
39344,استقرار,istikrar
39345,استقراض,istikraz
39346,استقراضات,istikrazat
39347,استقسام,istiksam
39348,استقصاص,istiksas
39349,استقطاب,İstiktab
39350,استقطار,İstiktar
39351,استقلال,istiklal
39352,استكانت,istikanet
39353,استكانه,istikane
39354,استكبار,istikbar
39355,استكتاب,istiktab
39356,استكثار,istiksar
39357,استكراه,istikrah
39358,استكشاف,istikşaf
39359,استكشافات,istikşafat
39360,استكمال,İstikmal
39361,استكناه,İstiknah
39362,استلال,istilal
39363,استلام,istilam
39364,استلذاذ,istilzaz
39365,استلزام,istilzam
39366,استمالت,istimalet
39367,استماله,istimale
39368,استمداد,istimdad
39369,استمرار,istimrar
39370,استمراري,istimrari
39371,استمزاج,istimzac
39372,استمهال,istimhal
39373,استناد,istinad
39374,استناداً,ً    istinaden
39375,استنادگاهاستنادگه,istinadgah
39376,استناره,istinara
39377,استنامه,istiname
39378,استنباط,istinbat
39379,استنتاج,istintac
39380,استنساخ,istinsah
39381,استنشاد,istinşad
39382,استنطاقات,istintakat
39383,استنطاقيه,istintakıyye
39384,استنغه,istinka
39385,استنفار,istinfar
39386,استنقاص,istinkas
39387,استنكاف,Istinkaf
39388,استنوغرافيا,istenografya
39389,استوار,ustuvar
39390,استوفاتر,istüvfatur
39391,استهانه,istihane
39392,استهجان,istihcan
39393,استيشار,istisar
39394,استيجار,isticar
39395,استيخار,istihar
39396,استيذان,istizan
39397,استيصال,istisal
39398,استيضاح,istizah
39399,استيضاحاً,ً    Istizahan
39400,استيضاحات,istizahat
39401,استيطان,istidan
39402,استيعاب,Istiab
39403,استيف,istif
39404,استيقاط,istikat
39405,استيقان,istikan
39406,استيم,istim
39407,استيماتور,istimatür
39408,استماره,istimara
39409,استيمان,istiman
39410,استيمبوط,istimbut
39411,استيساس,istisas
39412,استيناف,istinaf
39413,استينافاً,ً    Istinafen
39414,استيهال,istihal
39415,اسجاع,esca
39416,اسحار,Eshar
39417,اسخى,Esha
39418,اسخاط,ishat
39419,اسخان,ishan
39420,اسدالله,esedullah
39421,اسراء,üsera
39422,اسرار,Esrar
39423,اسراركش,Esrarkeş
39424,اسراءيل,Israil
39425,اسرائيليات,
39426,اسراف,israf
39427,اسرافيل,İsrafil
39428,اسره,Esirre
39429,اسطرلاب,üsturlab
39430,اسطقس,üstukos
39431,اسطوانه,üstuvane
39432,اسف,Esef
39433,اسفار,Esfar
39434,اسفنج,Isfenc
39435,اسفيداج,Isfidac
39436,اسقارپين,iskarpin
39437,اسقارچه,iskarçe
39438,اسقارموز,iskarmoz
39439,اسقاط,iskat
39440,اسقام,Eskam
39441,اسقانديل,iskandil
39442,اسقاله,iskale
39443,اسقريم,Esgarim
39444,اسقورپيت,iskorpit
39445,اسقومري,uskumru
39446,اسقونطواسقونطه,iskonta
39447,اسقوته,iskota
39448,اسكات,iskat
39449,اسكار,iskar
39450,اسكان,iskan
39451,اسكته,iskete
39452,اسكف,Eskef
39453,اسكلت,iskelet
39454,اسكله,iskele
39455,اسلاف,Eslaf
39456,اسلام,islam
39457,اسلاميت,islamiyyet
39458,اسلاميه,islamiyye
39459,اسلوب,üslub
39460,اسم,ism
39461,اسماع,esma'
39462,اسمرار,ismirar
39463,اسميه,ismiyye
39464,اسناد,isnad
39465,اسنادات,isnadat
39466,اسنادي,isnadi
39467,اسناديات,isnadiyyat
39468,اسنان,isnan
39469,اسنان,Esnan
39470,اسوار,Esvar
39471,اسواق,Esvak
39472,اسوداد,isvidad
39473,اسوه,üsve
39474,اسوف,esuf
39475,اسهال,ishal
39476,اسهام,Esham
39477,اسير,Esir
39478,اسيرالهند,esirulilhend
39479,اسيل,Esil
39480,اشابه,işabe
39481,اشارات,işarat
39482,اشارت,işaret
39483,اشاعره,Eşaıre
39484,اشاعه,Işaa
39485,اشأم,eş'em
39486,اشباح,Eşbah
39487,اشباه,Eşbah
39488,اشپورطه,işporta
39489,اشتات,iştat
39490,اشتات,Eştat
39491,اشتباه,iştibah
39492,اشتداد,iştidad
39493,اشتر,Eşter
39494,اشتراك,iştirak
39495,اشتعال,iştial
39496,اشتغال,iştigal
39497,اشتغالات,iştiğalat
39498,اشتقاق,iştikak
39499,اشتلم,üştülüm
39500,اشتمال,iştimal
39501,اشتمام,iştimam
39502,اشتهاء,iştihâ
39503,اشتهار,iştihar
39504,اشتياق,iştiyak
39505,اشجار,işcar
39506,اشجار,Eşcar
39507,اشجان,Eşcan
39508,اشجع,Eşca'
39509,اشخاذ,işhaz
39510,اشخاص,Eşhas
39511,اشر,Eşer
39512,اشر,eşir
39513,اشراءاشرار,eşirra
39514,اشراب,işrab
39515,اشراط,eşrad
39516,اشراف,Eşraf
39517,اشراق,işrak
39518,اشراك,işrak
39519,اشربه,eşribe
39520,اشرف,Eşraf
39521,اشعار,Eş'ar
39522,اشعارات,iş'arat
39523,اشعر,eş'ar
39524,اشعه,eşi''a
39525,اشغال,eşgal
39526,اشغال,İşgal
39527,اشغر,üşgur
39528,اشغل,eşgal
39529,اشفاق,eşfak
39530,اشفق,eşfak
39531,اشقي,eşka
39532,اشقيا,Eşkiya
39533,اشكال,işkal
39534,اشكبار,Eşkibar
39535,اشكباري,eşkbari
39536,اشكريزي,eşkrizi
39537,اطرب,etrab
39538,اشكل,Eşkel
39539,اشكوفه,üşküfe
39540,اشكوه,üşküh
39541,اشمام,işmam
39542,اشمط,eşmat
39543,اشميزاز,işmizaz
39544,اشواق,Eşvak
39545,اشهاد,Eşhad
39546,اشهاد,işhad
39547,اشهي,eşha
39548,اشيم,Eşyem
39549,اصابت,İsabet
39550,اصاغر,esagır
39551,اصاغه,isaga
39552,اصالت,asalet
39553,اصالةً,ً    asaleten
39554,اصباح,isbah
39555,اصبع,isbi'
39556,اصح,Esahh
39557,اصحاب,Ashab
39558,اصدار,İsdar
39559,اصداف,Esdaf
39560,اصرار,israr
39561,اصطبار,istıbar
39562,اصطفاف,istifaf
39563,اصطلاح,İstilah
39564,اصطلاحات,istilahat
39565,اصطلاحپرداز,Istilahperdaz
39566,اصطلاحپردازانه,Istilahperdazane
39567,اصطلاحپردازي,istilahperdazi
39568,اصطياد,istiyad
39569,اصعاد,is'ad
39570,اصغر,Esgar
39571,اصغراناصغرين,esgaran
39572,اصفار,Esfar
39573,اصفرار,isfirar
39574,اصفي,asfa
39575,اصفياء,Esfiya
39576,اصل,Asl
39577,اصلا,Asla
39578,اصلاب,aslab
39579,اصلاح,islah
39580,اصلاحات,islahat
39581,اصلح,eslah
39582,اصلحكالله,aslahakellah
39583,اصلي,asli
39584,اصناف,Esnaf
39585,اصنام,Esnam
39586,اصوات,Esvat
39587,اصواف,Esvaf
39588,اصول,usul
39589,اصهار,Eshar
39590,اصيلانه,Asilane
39591,اصيلزاده,asılzade
39592,اضائه,izae
39593,اضاحي,azahi
39594,اضاعه,İzaa
39595,اضافات,izafat
39596,اضافت,izafet
39597,اضافه,izafe
39598,اضحاك,izhak
39599,اضحوكه,üzhuke
39600,اضحومه,üzhume
39601,اضحي,azha
39602,اضحيه,üzhıyye
39603,اضداد,Ezdad
39604,اضرار,izrar
39605,اضراس,Ezras
39606,اضطجاع,izdica'
39607,اضطرابات,ızdırabat
39608,اضطرار,ızdırar
39609,اضطراري,izdirari
39610,اضطراريات,izdirariyyat
39611,اضطرام,ızdıram
39612,اضعاث,ez'as
39613,اضل,Ezall
39614,اضلاع,ezla'
39615,اضلال,izlal
39616,اضلاليات,izlaliyyet
39617,اضمار,izmar
39618,اضمحلال,İzmihlal
39619,اضياف,Ezyaf
39620,اضيق,ezyak
39621,اطاره,idare
39622,اطاعت,itaat
39623,اطاله,İtale
39624,اطام,İtam
39625,اطباق,Etbak
39626,اطراب,itrab
39627,اطراد,ittirad
39628,اطراس,Etras
39629,اطراف,Etraf
39630,اطفال,Etfal
39631,اطلاعات,ittilaat
39632,اطلاق,itlak
39633,اطلاقات,itlakat
39634,اطلال,Etlal
39635,اط,at
39636,اطماعات,itmaat
39637,اطماعيات,itmaıyyat
39638,اطمينان,itminan
39639,اطناب,itnab
39640,اطناب,Etnab
39641,اطنابه,itnabe
39642,اطنان,itnan
39643,اطوار,Etvar
39644,اطواق,Etvak
39645,اطول,Etval
39646,اطهار,Ethar
39647,اطهر,Ether
39648,اطايب,Edayib
39649,اظراف,izraf
39650,اظرف,Ezraf
39651,اظفار,Ezfar
39652,اظلاف,Ezlaf
39653,اظلال,Ezlal
39654,اظهار,izhar
39655,اظهر,Ezhar
39656,اعاجم,Eacim
39657,اعاجيب,Eacib
39658,اعاده,iade
39659,اعادي,Eadi
39660,اعاذه,iaze
39661,اعاره,iare
39662,اعاريض,Eariz
39663,اعاشه,iaşe
39664,اعاظم,Eazım
39665,اعالي,eali
39666,اعانات,ianat
39667,اعانه,iane
39668,اعتباراً,ً    itibaren
39669,اعتبارات,i'tibarat
39670,اعتباري,i'tibari
39671,اعتباريات,i'tibariyyat
39672,اعتذار,i'tizar
39673,اعتراض,i'tiraz
39674,اعتراضات,itirazat
39675,اعتراف,i'tiraf
39676,اعترافات,i'tirafat
39677,اعتقادي,i'tikadi
39678,اعتقاديات,i'tikadiyyat
